Order_ID,Order_Date,Customer_ID,Customer_Name,City,State,Region,Product,Category,Quantity,Unit_Price,Discount,Sales,Profit
100001,2025-04-15,C9935,Customer_357,Mumbai,Maharashtra,West,Laptop,Electronics,5,55000,5,261250.0,30813.35
100002,2026-06-02,C1434,Customer_2299,Kolkata,West Bengal,East,Laptop,Electronics,1,55000,0,55000.0,6444.27
100003,2025-01-07,C3615,Customer_2860,Hyderabad,Telangana,South,Pen,Stationery,4,25,15,85.0,15.31
100004,2025-12-11,C2674,Customer_380,Kolkata,West Bengal,East,Notebook,Stationery,5,120,5,570.0,66.46
100005,2025-02-14,C8527,Customer_2197,Kolkata,West Bengal,East,Mouse,Electronics,6,700,10,3780.0,690.35
100006,2026-01-06,C4150,Customer_2886,Mumbai,Maharashtra,West,Pen,Stationery,2,25,20,40.0,5.19
100007,2025-08-27,C2654,Customer_1557,Mumbai,Maharashtra,West,Laptop,Electronics,4,55000,10,198000.0,49002.56
100008,2025-08-03,C5374,Customer_2875,Chennai,Tamil Nadu,South,Monitor,Electronics,6,14000,5,79800.0,11405.87
100009,2026-01-24,C5422,Customer_2622,Mumbai,Maharashtra,West,Keyboard,Electronics,9,1500,5,12825.0,1382.26
100010,2025-11-20,C7572,Customer_1097,Hyderabad,Telangana,South,Notebook,Stationery,1,120,5,114.0,25.05
100011,2026-05-27,C7482,Customer_2634,Mumbai,Maharashtra,West,Chair,Furniture,10,4500,10,40500.0,4703.93
100012,2025-09-27,C8019,Customer_2391,Ahmedabad,Gujarat,West,Keyboard,Electronics,5,1500,5,7125.0,868.73
100013,2025-04-04,C1771,Customer_450,Kolkata,West Bengal,East,Notebook,Stationery,4,120,5,456.0,75.98
100014,2026-01-26,C8668,Customer_2168,Delhi,Delhi,North,Keyboard,Electronics,7,1500,20,8400.0,762.72
100015,2025-12-15,C2827,Customer_1203,Chennai,Tamil Nadu,South,Laptop,Electronics,2,55000,20,88000.0,18273.13
100016,2025-09-27,C9201,Customer_732,Kolkata,West Bengal,East,Keyboard,Electronics,8,1500,0,12000.0,2905.78
100017,2026-01-18,C3646,Customer_2210,Mumbai,Maharashtra,West,Desk,Furniture,9,8500,20,61200.0,6965.47
100018,2026-01-07,C6038,Customer_981,Bengaluru,Karnataka,South,Notebook,Stationery,8,120,0,960.0,95.06
100019,2026-05-13,C2133,Customer_2182,Bengaluru,Karnataka,South,Chair,Furniture,10,4500,0,45000.0,4255.25
100020,2026-06-25,C7932,Customer_868,Delhi,Delhi,North,Keyboard,Electronics,8,1500,20,9600.0,1037.49
100021,2026-06-14,C8397,Customer_496,Hyderabad,Telangana,South,Desk,Furniture,7,8500,10,53550.0,8272.24
100022,2025-08-24,C4608,Customer_30,Hyderabad,Telangana,South,Chair,Furniture,2,4500,10,8100.0,676.96
100023,2025-12-05,C2160,Customer_2106,Mumbai,Maharashtra,West,Laptop,Electronics,4,55000,0,220000.0,51462.71
100024,2026-04-30,C4981,Customer_1938,Hyderabad,Telangana,South,Desk,Furniture,8,8500,5,64600.0,11089.87
100025,2025-12-29,C7939,Customer_1684,Kolkata,West Bengal,East,Chair,Furniture,2,4500,0,9000.0,1728.24
